ZCTA5CE10,city,latitude,longitude,Area,Affect_area,pct,pop,household,affect
90189,Los Angeles,34.06,-118.25,0,None Affected,None Affect,NA,NA,No
90201,Bell,33.972814,-118.17385,3878.6794945075885,None Affected,None Affect,101279,24940,No
90202,Bell Gardens,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90204,Inglewood,33.944714,-118.356908,0,None Affected,None Affect,NA,NA,No
90209,Beverly Hills,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90210,Beverly Hills,34.088808,-118.40612,6529.016418421017,None Affected,None Affect,21741,9563,No
90211,Beverly Hills,34.066009,-118.38271,449.5266478724312,None Affected,None Affect,8434,4052,No
90212,Beverly Hills,34.060859,-118.40191,603.6112970966306,None Affected,None Affect,11555,6170,No
90213,Beverly Hills,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90220,Compton,33.890566,-118.23666,4444.9365345022015,None Affected,None Affect,49328,13498,No
90221,Compton,33.893265,-118.204,3476.216716411678,None Affected,None Affect,53704,12368,No
90222,Compton,33.910716,-118.23624,1648.7438987983908,None Affected,None Affect,31869,8026,No
90223,Compton,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90224,Compton,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90230,Culver City,33.997179,-118.40145,2911.083683353089,None Affected,None Affect,31766,13344,No
90231,Culver City,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90232,Culver City,34.021611,-118.39168,1359.8009270200405,None Affected,None Affect,15149,6944,No
90233,Culver City,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90239,Downey,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90240,Downey,33.958363,-118.11987,1933.731918888686,None Affected,None Affect,25876,7991,No
90241,Downey,33.942289,-118.12901,3196.2698967455826,None Affected,None Affect,42399,14316,No
90242,Downey,33.92018,-118.14291,2916.3332902058937,None Affected,None Affect,43497,13294,No
90245,El Segundo,33.921313,-118.40843,3744.2946052461666,None Affected,None Affect,16654,7410,No
90247,Gardena,33.891265,-118.2975,2413.2847418679767,None Affected,None Affect,47487,16620,No
90248,Gardena,33.870466,-118.28813,3058.337527362948,None Affected,None Affect,9947,3573,No
90249,Gardena,33.899265,-118.319,1917.474671394452,None Affected,None Affect,26669,9214,No
90250,Hawthorne,33.914614,-118.35092,4295.570192114868,None Affected,None Affect,93193,32600,No
90251,Hawthorne,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90254,Hermosa Beach,33.866314,-118.39968,1290.8729342260572,None Affected,None Affect,19506,10162,No
90255,Huntington Park,33.978404,-118.21773,2373.5094374189803,None Affected,None Affect,75066,19118,No
90260,Lawndale,33.888364,-118.35355,1727.0544425073776,None Affected,None Affect,34924,10879,No
90261,Lawndale,33.895363,-118.37689,0,None Affected,None Affect,NA,NA,No
90262,Lynwood,33.924642,-118.20186,3143.301964789965,None Affected,None Affect,69745,15266,No
90263,Malibu,34.035087,-118.70752,145.06719776932223,None Affected,None Affect,1612,0,No
90264,Malibu,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90265,Malibu,34.051056,-118.80768,73630.172333673,None Affected,None Affect,18116,9033,No
90266,Manhattan Beach,33.88898,-118.40535,2992.6929599477576,None Affected,None Affect,35135,14929,No
90267,Manhattan Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90270,Maywood,33.988813,-118.18642,826.5871423902689,None Affected,None Affect,27372,6761,No
90272,Pacific Palisades,34.050505,-118.53374,14973.11392967128,None Affected,None Affect,22986,9815,No
90274,Palos Verdes Peninsula,33.784099,-118.38752,8321.37381894963,None Affected,None Affect,25209,9941,No
90275,Rancho Palos Verdes,33.758216,-118.36425,10719.2441714267,None Affected,None Affect,41804,16236,No
90276,Redondo Beach,33.845064,-118.395107,0,None Affected,None Affect,NA,NA,No
90277,Redondo Beach,33.828815,-118.38322,3155.799909488332,None Affected,None Affect,35293,18062,No
90278,Redondo Beach,33.871214,-118.37177,2310.7524825405867,None Affected,None Affect,40071,16655,No
90280,South Gate,33.944264,-118.1949,4748.408697314989,None Affected,None Affect,94396,24160,No
90290,Topanga,34.101447,-118.59933,12835.978643632456,None Affected,None Affect,6368,2867,No
90291,Venice,33.992411,-118.46531,1810.914153747422,None Affected,None Affect,28341,16212,No
90292,Marina Del Rey,33.976373,-118.45458000000001,2006.0013724481712,None Affected,None Affect,21576,14585,No
90293,Playa Del Rey,33.957012,-118.44167,2818.069546663944,None Affected,None Affect,12132,6968,No
90294,Venice,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90295,Marina Del Rey,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90296,Playa Del Rey,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90301,Inglewood,33.955913,-118.35868,1583.0412327180734,None Affected,None Affect,36568,12565,No
90302,Inglewood,33.975263,-118.35558,1215.2856758771225,None Affected,None Affect,29415,11431,No
90303,Inglewood,33.934164,-118.33255,1426.1399728493157,None Affected,None Affect,26176,7646,No
90304,Inglewood,33.936163,-118.36076,1004.1439992679061,None Affected,None Affect,28210,6946,No
90305,Inglewood,33.960263,-118.3252,1491.3867921043786,None Affected,None Affect,14853,6166,No
90306,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90307,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90308,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90309,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90310,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90311,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90312,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90313,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90397,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90398,Inglewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90401,Santa Monica,34.01491,-118.4922,648.4144516228,None Affected,None Affect,6722,4682,No
90402,Santa Monica,34.036759000000004,-118.50121,1355.9703965103483,None Affected,None Affect,12250,5945,No
90403,Santa Monica,34.032159,-118.49022,971.9026776703546,None Affected,None Affect,24525,15172,No
90404,Santa Monica,34.026959,-118.47432,1272.4750295873573,None Affected,None Affect,21360,10865,No
90405,Santa Monica,34.009276,-118.47286,1810.5837285382847,None Affected,None Affect,27186,15370,No
90406,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90407,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90408,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90409,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90410,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90411,Santa Monica,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90421,Santa Monica,34.010328,-118.494107,0,None Affected,None Affect,NA,NA,No
90501,Torrance,33.828766,-118.31367,3621.8886123281,None Affected,None Affect,43180,15364,No
90502,Torrance,33.833416,-118.29198,1436.7158096021524,None Affected,None Affect,18010,5939,No
90503,Torrance,33.840264,-118.35587,3404.629511982035,None Affected,None Affect,44383,17948,No
90504,Torrance,33.870414,-118.33065,2857.349140967437,None Affected,None Affect,32102,11986,No
90505,Torrance,33.810848,-118.35096,3705.2554431856897,None Affected,None Affect,36678,14846,No
90506,Torrance,33.786594,-118.298662,100.7198208379833,None Affected,None Affect,0,0,No
90507,Torrance,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90508,Torrance,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90509,Torrance,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90510,Torrance,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90601,Whittier,34.002333,-118.03562,7419.0867126591875,None Affected,None Affect,31974,11549,No
90602,Whittier,33.967562,-118.03384,2372.7282536776675,None Affected,None Affect,25777,8451,No
90603,Whittier,33.941363,-117.99477,2097.1555170083716,None Affected,None Affect,20063,7007,No
90604,Whittier,33.929163,-118.009,2732.31641366431,None Affected,None Affect,39407,12326,No
90605,Whittier,33.945413,-118.03362,3626.636505862559,None Affected,None Affect,40331,10897,No
90606,Whittier,33.978312,-118.06778,2477.233003036744,None Affected,None Affect,32396,8931,No
90607,Whittier,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90608,Whittier,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90609,Whittier,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90610,Whittier,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90612,Whittier,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90620,Buena Park,33.841014,-118.00969,4093.026445112472,None Affected,None Affect,45113,13680,No
90621,Buena Park,33.875714,-117.99404,2670.793769622029,None Affected,None Affect,35153,10803,No
90622,Buena Park,33.640302,-117.769442,0,None Affected,None Affect,NA,NA,No
90623,La Palma,33.849327,-118.04395,1185.9797295064948,None Affected,None Affect,15554,5215,No
90624,Buena Park,33.640302,-117.769442,0,None Affected,None Affect,NA,NA,No
90630,Cypress,33.817481,-118.0399,3928.790865609608,None Affected,None Affect,47993,16204,No
90631,La Habra,33.934513,-117.95159,8897.513528646712,None Affected,None Affect,67619,22497,No
90632,La Habra,33.640302,-117.769442,0,None Affected,None Affect,NA,NA,No
90633,La Habra,33.640302,-117.769442,0,None Affected,None Affect,NA,NA,No
90637,La Mirada,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90638,La Mirada,33.90213,-118.00966,5043.551355396542,None Affected,None Affect,49012,15236,No
90639,La Mirada,33.905813,-118.018247,0,None Affected,None Affect,NA,NA,No
90640,Montebello,34.014212,-118.11358,5464.033763814407,None Affected,None Affect,62549,19785,No
90650,Norwalk,33.906914,-118.08339,6303.574514466203,None Affected,None Affect,105549,28083,No
90651,Norwalk,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90652,Norwalk,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90659,Norwalk,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90660,Pico Rivera,33.989013,-118.08912,5271.896433361419,None Affected,None Affect,62928,17106,No
